Review,Liked
On arriving we asked if we could be seated closer to the playground as we had two young children. We were told no as they only had bigger tables on that side which would have been fine if over half of them hadn't remainded empty the entire time we were there. There was no attmept to accomodate or request. We both had the thai beef salad which is usually a winner wherever we go. This time it just seem to be a bowl of rocket with a couple of token cherry tomatoes and pieces of red onion. There was barely any dressing and all seemed to be on the bottom of the bowl. The beef at least was tender. I was impressed with the childrens meals. We definitely got value for money with those. I had been thoroughly looking forward to finally trying out this resturant so I was sad to be so disappointed by it. I may go back again in the future but will definitely be trying other places out first.,0
"didn't honour booking, turned away when arrived. over 45mins before close",0
"THE BARREL  is on a perfect spot with great views and nature all around you. We had lunch there on Friday and the food was delicious. I had the Linguine with prawns & crab (very little crab!) and it was really delicious. My granddaughter loved her Hamburger (I think it was chicken) and her chips were to die for! The only downside was the slow service. We waited nearly 1 1/2 hours for our meal, even though the place wasn't overly busy. And the waitresses kept bringing the food to the wrong tables, which caused a bit of confusion. But we all know that restaurants are battling to get staff. So we will forgive them for the slow service as the delicious food made up for it. Well done chef!",1
"Location and look of the place is excellent. Food that was served tasted good. Unfortunately a lot of the menu was unavailable and the service was a little lacking. I tried to call the day before with a query and the phone line rang out. 
Appreciate that they were possibly understaffed and busy however most of our table had finished their meals before some other meals were served and the entree/dips that were meant to come out before the mains werenât delivered so we ended up cancelling them and a main meal as it was just too late. Sadly the main meal that didnât turn up was for the birthday person and was just salad so it was rather disappointing for their birthday.  
The outside toilets also have a smell that drifted to our table which was unpleasant. 
If the items on the menu we wanted had been available and if the meals had come out together I would rate higher. 
I have been before on a weekday in a big group and it was fine, however for a group booking on a weekend not so good.",0
"Made the booking for Lunch and when we got there, we were told that they did not have a Chef.",0
A bit disappointing for our 3rd visit here. The service was very slow. We ordered drinks well before our meals & the food came out first. Our pasta was just warm-cold by the time weâd finished. Disappointing as the meal was very tasty. The ambiance was very good but overall a very slow afternoon.,1
Service with a smile and ambience is what stood out.,1
"Friendly service although they had the technology for the menu and ordering via phone at table it wasnât in use on the day. Great place for families . 
Will go again on our next visit to Maleny.",1
"Food was delicious, we were seated by the playground which was great as we had a child but we kept getting whiffs of the toilets which wasnât very pleasant when trying to eat. Staff were nice. We had nearly finished eating before our wine/beer paddles came out. Not sure if they had forgotten about us. Overall it was a nice afternoon. Will definitely ask to be seated away from the toilets next time.",1
Beautiful spot to celebrate a birthday lunch.,1
Everything was beautiful except we found the toilets were not up to the standard of everything else.,1
"Pouring with rain, it was hard to get in or find the entrance. Once inside the restaurant was so quiet, no music or atmosphere. Ordered a cheese platter which was amazing. No knives provided so had to ask, but no cheese knives on site, only butter knife. 
Venue and food and wine amazing, let down by ambience and customer service. Staff not warm or friendly.",1
A great place to go and the decor is outstanding. Highly recommendd coming for a meal and tasting the local wines.,1
"Was busy with everyone having to order at the bar and only one staff member taking orders. Iâm thankful we didnât have a table inside where everyone was lining up as I found it a little awkward for the people sitting there. 
The vibe and seating area is beautiful the staff were friendly. We ordered the pastas and found them a little bland. I would go back for drinks and nibbles possibly but feel a better system in taking orders needs to be looked at.",1
We went for lunch. Food and service was very good. We sat outside with views of the garden which was really nice. Their wines were very good. We even bought some to bring home,1
"Had heard from multiple sources there had recently been a limited menu which was not great. I was surprised as having had lunch here 6 months back it was brilliant. If there was an issue itâs all sorted out as the full menu was on offer with a great variety of dishes. The crab and prawn pasta should be a signature dish. AMAZING!
Coupled with a wine flight is the best way to go. 
Keep it up guys, highly recommended.",1
"Good overall, the wine was tasty and it was a great experience to have wine tasting on your table with your food. 
There was only 3 vegetarian options, however there wasnât a massive choice for food in general. 
Mainly share plates, so a good place for wine and nibbles.",1
"Unfortunately there were a few errors and 'forgotten' items on our orders, otherwise a lovely day.",1
"Beautiful, child friendly venue. Great food & friendly staff!",1
We booked the Barrel Room for our Girlsâ Lunch. Fantastic area with amazing food. Highly recommend!,1
"Food was amazing!! 
Service was pretty average, my guess was understaffed. I rang 8 times over two days before getting through. The ambiance would have been so much better if they played any kind of music. Not much of a view either if thatâs what youâre after. But like I said, couldnât fault the food!",1
"Disorganised, wine was not local, from Stanthorpe. Platter was Woolworths products and not local. Disappointed.",1
"Wr had an absolutely lovely lunch experience, from the moment we arrived & were greeted by 2 lovely staff members, to quick ordering of our drinks & food. The wine tasting board was gr8 value for money, unftly no1 to explain wines to us tho, but the stand-up was the share platter of cheese, bread, crackers, cold cuts & condiments & also my partner juicy beef burgern with delicious fries! We would have no hesitation to go back",1
"Had a wonderful lunch, food service and wine were top notch !!
Great atmosphere and affordable menu !!
We will be back for sure with our friends !!",1
"Fabulous food, fantastic venue , we all loved it . Thank you!!!",1
"Beautiful spot, good food. Very enjoyable for weekend afternoon:-)",1
Can't respond properly as was not told that there was no cook  till we walked in for our birthday celebration  and had to find another venue.,0
Good set-up outside for catching up with friends whilst the kids play I. The playground.,1
The food was very undercooked. The fish my husband and sister has was pink and the batter was still soggy.,0
"They told us they were under staffed but that didn't slow the service. The staff were lovely and the service was quick. Great spot for families, with a fenced play ground",1
"A great way to spend a Sunday afternoon with friends.  We mainly had share plates with some drink paddles.  It would be great if there was some form of music either background or live entertainment.
Highly recommend a Sunday lunch at the Barrel!",1
"Unfortunately a few functions on and not enough staff members - our meals came and was eaten before our drinks and the drinks had to be prompted twice by us lining up to ask for them - once we were told they just were taken out and the second time saying they were already sent however have us new ones. 
Itâs a bit sad because I was really looking forward to this place and was just a bit of a let downâ¦ definitely need to hire more staff if there are going to be functions",0
Lovely local place to hang out with friends.  Best chips!,1
"We had a lovely lunch here.
The food was  nice and we especially lobed the kids grazing plate - what a great idea!",1
A fabulous venue to meet friends & enjoy quality food & drinks at good value prices. Would thoroughly recommend. We will return.,1
"I booked a table for my mothers birthday, they gave us our own room without even asking, the staff were warm, welcoming and friendly throughout our whole time there. The drinks were very well priced and delicious. The food was much the same, after we ordered it wasnât long at all before they brought it it out and it was also very well priced and delicious. All the meals were great with the Prawn Cesar salad as the clear winner. I would definitely go back, we all had our fill of drinks and food and it still came in under $50 a head.  Great place.",1
Service was friendly and fast! My partner and I both had the chicken creamy pasta which was lacking flavour but the garlic bread was great. Would still go back!,1
"We had a wonderful time, we thought we would have a person to tell us about the wines, it was very busy and staff were overwhelmed. We enjoyed ourselves.",1
"Overcooked fish, disinterested staff, and very dirty rest rooms. Unfortunately Clouds Vineyards felt like a cheap cafe when it could have been so much more. The weekday menu was extremely limited and uninteresting. I wonât be taking interstate visitors to the Barrel cafe for a very long time.",0
Service was very poor - restaurant always seems to be understaffed and you wait extremely long amounts of time for coffees/ drinks,1
"Delicious, value for money food! Friendly service and a lovely spot to enjoy a few drinks âºï¸ð¾",1
30th wedding anniversary weekend get away,1
"If you are going for just the wines, you will be happy...they are very good & the Chardonnay was one of the nicest, I have tried in a long time.
If you are going for the views, you will be disappointed; as the whole place seems to be facing the wrong way...why are the best views from the carpark as your driving out??!
If you are going for impeccable service, well...our (older) waitress was lovely & couldn't do enough for us.  The tables surrounding us were being ""serviced"" by a younger darker haired girl & I was appalled by the way in which she spoke to the other customers. She was arguing with (all of) them, that they had moved tables after ordering...& hadn't placed orders, when they actually had etc.  She was just a complete A Grader to everyone on that day & should not be in this industry!  Sorry, but a necessary truth.
If you are going for the food...just order from the wine list! ð",0
We were not sure if we ordered at the counter or table service. We did have a booking and were seated with menus but not informed of the procedure. I had the salmon which was over cooked but still nice and my partner had the Pasta which was quite basic in flavour. I would recommend a friend visiting but maybe not for a meal.,1
"Met family while back over in Australia , was a lovely atmosphere and food was good , would definately recommend to others, although closure at 4pm and wouldnât serve a final drink at 3:40 but apart from that it was a lovely day",1
Other than waiting over and hour for food everything else was great. Would like to go back when they arenât as busy,1
We booked at 12:30 and were given an outside table. We waited over an hour for our food with no follow up by staff. When it came the burgers were cold as was the warm beef salad. The fish was tasteless. No one came to check on our outside table when it started to rain. There was a further wait if you wanted dessert so we left. Very sad experience.,0
Lovely picturesque venue to enjoy a delicious lunch and drinks with the family. The service was not the friendliest and could be improved..,1
Thank you for looking after us yesterday - one of us was local the other 2 from Toowoomba.  The Symphony Hill Pinot Gris was a big hit.  I have already recommended the winery to others travelling that way.,1
"Cannot fault the food, serving size was more than generous, and very tasty.the level of service left alot to be desired, my family group was addressed as
 ""you people"" .... I thought I had become a cast member of Seinfeld! 

I was researching venues for a function later in the year , but just handing me a card and saying go look for yourself is not selling me on service.",0
"The Barrel is a âmust goâ.
The dining room and outdoor dining options provide for the needs of a wonderfully varied range of diners. Thank you for having us.",1
"We ordered cheese platters to start but these came out after the meals so wended up taking this home which was very disappointing. 
We were 2 parties and the meals came out very muddled and also drinks came out last.. 
very poor service unfortunately",1
Great setting that works well for a young family.  Great service and friendly staff.,1
Lovely meals in a wonderful setting. Great lunch had by all at our table. Staff friendly and efficient.,1
"The food was very good. My sister and I shared the grazing platter, my father had the fish and chips and nephew had the chicken burger. The Symphony Hill Pinot Gris was a nice wine and well priced for a restaurant. 
Everyone very friendly. Only one complaint which was minor. It took about 20 minutes to get our wine. 
Lovely day out and will definitely be back.",1
Slow service due to totally under staffed. Not the first time,1
"Pleasant atmosphere, good food at a reasonable price.  Outdoor settings with plenty of space and family friendly area for children.",1
"We had a lovely time at the Barrell. It was a shame that the table QR code ordering was unavailable, because there was a long line to order, but that was the only complaint.",1
Unfortunately our meals all arrived at different times and most were cold. Beautiful venue just a bit disappointing with the food.,1
Good pub food and pleasant surroundings,1
"The best big breakfast I have ever had, highly recommended",1
My parents were up visiting from Tassie and we thought we would take them out for lunch to a QLD winery. We were VERY disappointed. We were shown into a back room and told to order from the QR code (which in the end didn't work and we had to stand in a long line to order). No staff interaction. Wines on the tasting paddle we're just plonked in front of us with no explanation. Lamb rump was extremely tough and inedible. Seafood pasta was bland and tasteless. The pumpkin and Thai beef salad was ok but again very average. We weren't checked on by one staff member throughout our visit and upon leaving NOONE even acknowledged us. The venue it's self was nice and the wine barrel is very effective.,0
The food is always amazing. Itâs a favourite spot of ours to celebrate family birthdays. The fenced playground and outdoor chess set are a hit. We booked outside but with the weather a little funny they kindly had already prepared a table for us inside. Thank you!,1
Relaxed atmosphere & wonderful food,1
My friends and I had a lovely time at The Barrel. Great wines and delicious food....a great place to spend a Sunday afternoon,1
"Always a high standard at The Barrell. It's a known quality and great value. Friendly, proffesional staff. Beautugul views!",1
We pop in often and take Advantage of this Amazing place.,1
Really good spot took my partner had a great time and great service,1
Lovely spot.  Shame they do not take advantage of the view of the Glasshouse Mountains with a deck at the back.  Portion size of meals are small considering the price.  But meals were nice.  Loved the deserts.,1
"Booked online 3 weeks ahead and confirmed the day prior, however, staff could not find any booking on our arrival. Fortunately we were able to be seated in the cellar room which had a great feel. I think it was more luck than anything else as there were 13 of us. 
At the end of the lovely meal we asked for the surprise birthday cake to be brought in. Would have been nice if staff had lit the candles and then brought it in, rather, they just brought the cake box in and sat it on the table. 
Just a little more care and attentiveness would have earned them a higher rating.",1
Always enjoy my visit to the Barrel. The staff are always friendly and the atmosphere is always great.,1
"Lovely restaurant with shady outdoor eating areas. The food was extremely good. Unfortunately they didn't have all menu items available for purchase and the QR table service app could have been good, it didn't allow you to make any changes to the menu eg. no cheese, so was a bit useless to us. Having said all that, I'd dine here again as the food we had was delicious and the shady outdoor area was great on a very hot day.",1
Very tasty food and lovely atmosphere. Worth while place to visit and dine,1
Over priced and under serviced. Wines were disappointing and the food was very overpriced and the service was of poor quality.,0
Great location. Fun for adults and kids! Will be back.,1
"Cracking venue awesome views average to good food 
Service ok",1
"Lovely venue with a nice atmosphere,  staff are lovely and food is exceptional.  I highly reccomend this venue",1
"Such a beautiful place, amazing food and for someone who does like any wine other than moscato usually, I liked every single wine that we tried.",1
"Lovely spot but unfortunately was very disappointed. No one to greet customers at entry or check vaccination status. Booked for 3rd January, and on trying to make order on app, only to find out they had run out of burgers & chips, at 1pm  plus had to ask for menu & water. We decided to go elsewhere to eat. Sadly cannot recommend and will not go back, unless new management/owners.  It is a goldmine of a place with much potential. How could they get it so wrong?",0
"Ordered a Thai Beef Warm salad, but it seems it came straight out of the fridge as it was stone coldâ¦. The Stout beer I ordered was flatâ¦",1
"Kicking off the New Year with family, had a fabulous brunch at the Barrel.  Food was amazing & serving size excellent for the price.  The only downside was it was raining so we could not share the outdoor experience of the venue with our fur child, so we will definitely be back again. The staff communication with regard to the weather on the day was great & very much appreciated. Will also be back with friends to take on more of the wine/beer tasting side of things.",1
"Amazing food, great service. Can't wait to go again",1
"Great food, great service, great position.
Will definitely return again",1
We thoroughly enjoyed our day! The food was great however Mum had the Thai Beef Salad and the Beef was over cooked and was very tough. Overall though we really enjoyed the day snd recommend it. Thank you.,1
"Really enjoyed the Barrell, the Nori was delicious, will definitely be back.",1
Love the wine! Service amazing. Atmosphere outstanding. A must do!,1
Great spot for a relaxed lunch with family or friends,1
Have been here several times for lunch. Food has always been superb. Good value for money as are the wines   The staff are extremely friendly and helpful.,1
We enjoyed the sunny ambiance of well presented surroundings together with efficient service and great food. Our guests thoroughly enjoyed the experience in the same way we did. The Barrell will continue to be a regular destination for us when we need that special break from our daily living pattern.,1
"Had a very pleasant experience, it was so nice to see Santa Clause.",1
The atmosphere was magic Service excellent food was enjoyable but noise was overpowering due to a large party Next time we would ask to be seated outside,1
"As soon as I walked in I new we were going to have an amazing afternoon. The venue itself is immaculate, the gardens were beautiful, kids area was very welcoming and the vibe was just calming. The service was great and food was good. We all had a wonderful time!",1
"A wonderful venue and setting with a relaxed ambience, we had a really enjoyable and memorable time with friends. Some great views overlook the Glasshouse Mountains, with picturesque indoor and outdoor spaces, including the adjacent vineyard. Thank you to Clouds for providing this unique experience.",1
The staff were friendly and obliging. The food was great.  We sat inside so the noise was noticeable but my husband has hearing sensitivity so not the problem of the venue necessarily!,1
Generally a great venue. Let down on part of the food today. Fried chips very poor quality.,1
Have been there several times and always a good experience. Interstate visitors have commented is a good place to dine.,1
Our party of four each had the fish and chips meal. Whilst the meal was very nice we felt that it was a bit pricey at $24. The service was good and the staff friendly.,1
Delicious food and a tranquil setting. My partner and I both thoroughly enjoyed our meals- the salmon and prawn & crab pasta. Meals came out extremely quickly.,1
A great way to start my tours. Always a pleasure. Everyone of my guests so far have loved The Barrel.,1
Great variety on the menu to eat for lunch not the usual hamburger and chips.,1
"As locals we have been very much enjoying the Barrel for lunches with our friends.
A good menu, friendly staff, plenty of parking so we don't have the problem of finding a car park in the middle of Maleny. Many thanks Clouds.",1
What a beautiful spot. Perfect for kids with the playground! Loved it. A must to go to,1
"Second time dining here. The food is simple but delicious, cooked perfectly.
The beer paddle is worth trying - loved the ginger beer!
Would love a deck out the back to take full advantage of the view.
We will definitely be back",1
"Very nice setting, the barrel is well done. Great selection of wines and beers. Food was very nice too. Would go again.",1
"Lovely location, the outside atmosphere is amazing and drink paddles are got value, but food was ordinary.",1
"Great venue & the view was lovely. 
Also thoroughly enjoyed the wine & cheese platter.",1
"Took a little getting used to with electronic service but it was worth it. When you say you are happy to sit outside make sure you ask to be away from the playground. Be mindful of the heat of the sun too. Food, drinks, staff - absolutely fabulous!!! Would definitely go there every time we are in the area. Service was seriously super quick and the view/location is thumbs up.",1
Have been there several times this year.  Have always been happy with the lovely Gourmet meals and service.  Lovely venue also and very pleasant outside.,1
"Very poor service from all staff on Sunday. Which was disappointing being Fatherâs Day.
Food was terrible. Pasta was cold and also not the pasta I ordered, didnât say anything to staff due to rude service didnât feel comfortable enough to voice this to them. 
Wine was great but didnât make up for the rude wait staff and terrible food.",0
"Looks beautiful but sat inside the barrel, no views at all, had to find our own table we had booked no one was checking us in, ordered through code at table didn't go through had to reorder at bar, table behind too close, had to move ours as couldn't chair out, toilets tiny and not clean, I can see potential but not there yet, hopefully with the works going on there will be a view, not enough parking, road at top so busy fast, no walkway to restaurant down driveway without walking on entry rd, with little kids not great",1
Great spot to enjoy either indoor or outdoor eating and drinks. Parking is being extended which is good. Best fish and chips eaten in a long while!,1
"Possibly needed slightly louder music, more furnishings but will be back as it was overall quite good. 
Just needed more atmosphere.",1
"Good service and beautiful outside on a good day.  Great bar.
The salmon was amazing however too much stringy rocket was inedible.

I made a booking and was surprised to be put in a shady side area which was too cold and perhaps the worst table on the property.

However, we will come again and we do enjoy the ambience.",1
"Our experience on arrival was hectic staff did not take the time to greet us to busy cleaning tables.
Time lapsed and finally a team member said l  will be with you shortly.

In the mean time we found a table an sat down 

About 15 minutes later we were offered water by this time we had already ordered our first round oft drinks

Finally menus had been provided to us and simple ordering instructions 

The food was awesome pity about the staff attentive",1
"Nice place....was offered no water to begin with and ordered the cheese platter as entree and came out after thr main...so didn't really want it but had already paid for it unfortunately...
Would be nicer if there was table service...
Staff are polite...
Maybe needs more tables spaced apart",1
Fabulous experience after a hard couple of years working hard and renovating on top of full time work it was an incredible place to chill unwind and destress. Food was so yummy drinks fabulous and the young man who spoke to us there what a delightful guy. I would have him in my business in a heartbeat what an asset to the place he was a gem. Walked around took in the magnificent views sipped on red wine smooth and silky i was in my happy place. My husband looked like the weight of the world had been lifted off his shoulders and thats a hard one to achieve. I give this place 11 out of 10 we wii be back.,1
At our visit to Clouds we found them to provide Friendly service and the place had great atmosphere,1
"Great wines, fantastic food and lovely spot to relax.",1
"While the food, drinks and service were all top notch we were seated near a large group of men and women who were dropping the F bomb extremely loudly while describing their interactions with other people. We quickly ate our food and took our drinks to different section to enjoy without having yo listen to the F word said repeatedly and loudly. Such a shame as Iâd taken my partner their as part of his special birthday celebrations. In hindsight I should have asked to be moved but Iâd booked a table in that cute semi private barrel shaped room. But as mentioned earlier the grazing platters were delicious.",1
"Great food, friendly staff and we ladies were in the back room â¦ brilliant!",1
"Food was great, service was poor with a very grumpy waitress not friendly and very unhelpful.  However we will be back as we have been there a few times and it has always been great. I just wanted to let you know",1
"Food was delicious. Chips were perfect. Burger was a bit lacklustre. 
Wine flight was nice and would recommend to friends to try this out. Also tried the house Shiraz and have to say 10/10",1
Super friendly staff. Yum and well priced food and a good range of drinks.,1
"Ordering was made easy from barcode on table, fast service and delicious food.  Sat in the middle of the barrel room and was very pleasant.  Will definitely be back.",1
"My all time favourite place. Service is always top notch, food is next level everytime and the drinks are delicious.",1
"Great food, and really enjoyed it both the wine and beer samplers .

Great service, although a bit slow only because it was busy. Worth the wait though.

View outside amazing especially from the car park",1
Very relaxing enviroment.Staff were attentive but not intrusive.Will come again,1
"The best restaurant that we have been to in a very long time, the kids play area is great and the food sensational.",1
